Manifold,Volume,Homology_Rank,Torsion_Order_Proxy,Lambda_c
"m003(0,0)",2.029883212819308,2,1.0,2.029883212819308
"m004(0,0)",2.029883212819307,1,1.0,2.029883212819307
"m006(0,0)",2.5689706009367086,2,1.0,2.5689706009367086
"m007(0,0)",2.5689706009367086,2,1.0,2.5689706009367086
"m009(0,0)",2.6667447834490603,2,1.0,2.6667447834490603
"m010(0,0)",2.66674478344906,2,1.0,2.66674478344906
"m011(0,0)",2.7818339123960802,1,1.0,2.7818339123960802
"m015(0,0)",2.8281220883307827,1,1.0,2.8281220883307827
"m016(0,0)",2.828122088330783,1,1.0,2.828122088330783
"m017(0,0)",2.828122088330784,2,1.0,2.828122088330784
"m019(0,0)",2.9441064866766964,1,1.0,2.9441064866766964
"m022(0,0)",2.989120282929486,2,1.0,2.989120282929486
"m023(0,0)",2.989120282929485,2,1.0,2.989120282929485
"m026(0,0)",3.059338057778955,1,1.0,3.059338057778955
"m027(0,0)",3.121334773012293,1,1.0,3.121334773012293
"m029(0,0)",3.148509826440727,2,1.0,3.148509826440727
"m030(0,0)",3.1485098264407276,2,1.0,3.1485098264407276
"m032(0,0)",3.1639632288831425,1,1.0,3.1639632288831425
"m033(0,0)",3.1639632288831434,2,1.0,3.1639632288831434
"m034(0,0)",3.166333321249626,1,1.0,3.166333321249626
"m035(0,0)",3.177293278600326,2,1.0,3.177293278600326
"m036(0,0)",3.1772932786003256,2,1.0,3.1772932786003256
"m037(0,0)",3.177293278600326,2,1.0,3.177293278600326
"m038(0,0)",3.1772932786003256,1,1.0,3.1772932786003256
"m039(0,0)",3.1772932786003247,2,1.0,3.1772932786003247
"m040(0,0)",3.177293278600325,2,1.0,3.177293278600325
"m043(0,0)",3.252908048471646,2,1.0,3.252908048471646
"m044(0,0)",3.2756765600243773,1,1.0,3.2756765600243773
"m045(0,0)",3.2758716439439324,2,1.0,3.2758716439439324
"m046(0,0)",3.2758716439439337,2,1.0,3.2758716439439337
"m047(0,0)",3.277062185133985,1,1.0,3.277062185133985
"m049(0,0)",3.300217628535391,1,1.0,3.300217628535391
"m052(0,0)",3.3082415547304196,1,1.0,3.3082415547304196
"m053(0,0)",3.331744231641115,1,1.0,3.331744231641115
"m054(0,0)",3.3317442316411134,2,1.0,3.3317442316411134
"m055(0,0)",3.337191720007033,1,1.0,3.337191720007033
"m058(0,0)",3.3566928451414197,2,1.0,3.3566928451414197
"m059(0,0)",3.3566928451414166,2,1.0,3.3566928451414166
"m060(0,0)",3.3620932044270484,1,1.0,3.3620932044270484
"m061(0,0)",3.366729420470357,2,1.0,3.366729420470357
