x,y,R,G,B,Value,Domain
770,81,78,186,97,1.88,0
771,81,78,186,97,1.88,0
772,81,78,186,97,1.88,0
773,81,92,190,89,1.88,0
774,81,92,190,89,1.88,0
775,81,92,190,89,1.88,0
796,81,215,214,22,1.91,1
797,81,215,214,22,1.91,1
798,81,215,214,22,1.91,1
799,81,224,216,25,1.91,1
800,81,224,216,25,1.91,1
801,81,224,216,25,1.91,1
802,81,234,217,31,1.91,1
803,81,234,217,31,1.91,1
804,81,234,217,31,1.91,1
805,81,239,218,34,1.91,1
806,81,239,218,34,1.91,1
807,81,239,218,34,1.91,1
808,81,239,218,34,1.91,1
809,81,239,218,34,1.91,1
810,81,239,218,34,1.91,1
811,81,236,217,32,1.91,1
812,81,236,217,32,1.91,1
813,81,236,217,32,1.91,1
814,81,236,217,32,1.91,1
815,81,232,217,29,1.91,1
816,81,232,217,29,1.91,1
817,81,232,217,29,1.91,1
818,81,220,215,23,1.91,1
819,81,220,215,23,1.91,1
820,81,220,215,23,1.91,1
821,81,206,213,22,1.91,1
822,81,206,213,22,1.91,1
823,81,206,213,22,1.91,1
837,81,90,189,90,1.88,2
838,81,90,189,90,1.88,2
839,81,90,189,90,1.88,2
984,81,76,185,98,1.88,3
985,81,76,185,98,1.88,3
986,81,76,185,98,1.88,3
987,81,84,188,94,1.88,3
988,81,84,188,94,1.88,3
989,81,84,188,94,1.88,3
990,81,92,190,89,1.88,3
991,81,92,190,89,1.88,3
992,81,92,190,89,1.88,3
1041,81,90,189,90,1.88,4
1042,81,90,189,90,1.88,4
1043,81,90,189,90,1.88,4
1044,81,82,187,95,1.88,4
1045,81,82,187,95,1.88,4
1046,81,82,187,95,1.88,4
1047,81,82,187,95,1.88,4
1437,81,74,184,99,1.88,5
1438,81,74,184,99,1.88,5
1439,81,74,184,99,1.88,5
1440,81,80,187,96,1.88,5
1441,81,80,187,96,1.88,5
1442,81,80,187,96,1.88,5
1443,81,88,189,91,1.88,5
1444,81,88,189,91,1.88,5
1445,81,88,189,91,1.88,5
1446,81,88,189,91,1.88,5
1447,81,99,192,86,1.88,5
1448,81,99,192,86,1.88,5
1449,81,99,192,86,1.88,5
1478,81,206,213,22,1.91,6
1479,81,206,213,22,1.91,6
1480,81,206,213,22,1.91,6
1481,81,206,213,22,1.91,6
1482,81,210,214,22,1.91,6
1483,81,210,214,22,1.91,6
1484,81,210,214,22,1.91,6
1485,81,215,214,22,1.91,6
1486,81,215,214,22,1.91,6
1487,81,215,214,22,1.91,6
1488,81,220,215,23,1.91,6
1489,81,220,215,23,1.91,6
1490,81,220,215,23,1.91,6
1491,81,223,215,24,1.91,6
1492,81,223,215,24,1.91,6
1493,81,223,215,24,1.91,6
