x,y,R,G,B,Value
763,81,52,174,111,1.9062740098678108
1483,81,210,214,22,1.922937654562258
1472,82,197,223,33,1.9233023789680688
1491,83,231,228,25,1.9215601806042832
1500,84,233,228,25,1.9248578930549531
1624,85,251,231,35,1.915977917809341
1609,86,248,230,33,1.9232170831452724
1494,87,223,227,24,1.9193318010376057
1479,88,205,224,29,1.923889502721467
794,90,202,224,30,1.9302766725952534
1621,90,246,230,32,1.930239118791271
1493,92,189,222,38,1.9271465680131397
793,94,194,223,34,1.9308090490388146
820,95,205,224,29,1.9217707820982528
820,97,205,224,29,1.9306198994915764
1012,98,94,201,97,1.9011401192676325
1612,99,239,229,28,1.9161052005014036
797,101,181,221,43,1.915811331096519
1626,102,236,229,27,1.930319725993032
1612,103,236,229,27,1.9412866786351093
1618,104,236,229,27,1.9206471934769973
1610,106,234,229,26,1.9190040443241057
1631,107,234,229,26,1.9268981761287045
1605,109,231,228,25,1.9215012463677037
1607,112,229,228,25,1.9216517310403678
1610,115,226,228,24,1.9347380164150503
1599,118,223,227,24,1.932974248513557
1604,120,223,227,24,1.925611931237898
1615,122,221,227,24,1.923661754751689
1629,125,218,227,25,1.9343279323753535
1601,129,216,226,25,1.9198905387225966
1633,131,201,213,24,1.9254675018392078
1603,134,210,226,27,1.9198677755272726
1621,137,208,225,28,1.9225802002110015
1601,141,205,225,29,1.928867451673763
1602,145,202,225,31,1.9247351269510644
1630,147,200,224,32,1.9083176713519574
1625,149,200,224,32,1.9218558913108255
1619,153,194,223,35,1.9213152086470722
1621,155,194,223,35,1.9247485504298456
1609,157,192,223,37,1.9209066661268943
1615,160,189,223,38,1.9236652832661019
1606,163,186,222,40,1.9243297537755772
1619,165,186,222,40,1.9166842194881903
1599,167,184,222,41,1.9235992755454896
1615,169,181,222,43,1.9203614961900297
1631,171,181,222,43,1.9166947287751706
1229,173,85,198,102,1.898172120487056
1249,175,94,201,97,1.8907425383751504
1214,178,81,196,104,1.9043588197678243
1182,180,83,197,103,1.9017419292009612
1209,183,83,197,103,1.903792571408516
788,186,59,186,117,1.9016378685547237
1158,189,98,202,95,1.8909670948717148
1240,190,96,201,96,1.8976657765473812
1233,193,96,201,96,1.8971307087617149
1212,196,105,204,91,1.9009991125684782
784,201,56,185,118,1.8984736653781953
1150,205,114,207,85,1.9047812281475003
1138,215,83,197,103,1.910710039693088
1203,220,109,206,88,1.8916913678645784
1139,226,107,205,89,1.9005845429848407
1135,231,100,203,93,1.895435093810428
1126,239,83,197,103,1.8926312610671778
661,244,115,115,115,1.9013577391991079
1614,246,119,209,83,1.8918567793699133
1613,248,119,209,83,1.899338112700312
908,251,57,185,118,1.904187228944922
1125,253,107,205,89,1.8998342134023103
1180,255,56,185,118,1.9031084054349694
1158,257,119,208,82,1.9026844041945514
1168,259,83,197,103,1.9053177879005063
1121,262,116,208,84,1.9092476176218334
1089,265,56,185,118,1.897577039483806
1626,266,105,205,91,1.9102061253950084
911,269,61,187,116,1.8962182440283064
1165,270,64,189,114,1.9015805663853795
1155,272,96,201,96,1.8970378881643097
715,274,54,184,119,1.9022367281611414
1599,275,99,203,95,1.902112175137063
1159,277,66,190,113,1.8925037600188872
691,280,62,188,115,1.8998744233588676
1324,281,57,185,118,1.8923784445846432
1060,283,57,185,118,1.9011045423046289
702,285,64,189,114,1.9107589657669803
921,286,62,188,115,1.9047216069057908
1607,287,90,200,100,1.9032734126598765
712,289,61,187,116,1.9059678437555978
713,290,61,187,116,1.8897957014214013
1147,291,100,203,93,1.904953698835747
1358,292,61,187,116,1.897983499132376
1326,294,91,200,98,1.894823020663736
1343,295,100,203,93,1.9030001147952735
